"id";"condition";"category";"sector";"text1";"text2";"comment"
"6b-i-infra";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Infrastructure";"Infection and morbidity related to water quality";"<ul><li>Incorporate climate change information into public infrastructure design and regional land use management (water utilities, wastewater, manure storage).</li></ul>";"Non-climate causes: Chemical contaminants tailing ponds, ag runoff, other industry"
"6b-ii-land";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Land Use Planning";"Infection and morbidity related to water quality";"<ul><li>Draw up effective emergency management plans and prediction measures.</li><li>Assess vulnerability of wells and small systems to microbial or chemical contamination.</li><li>Update flood maps and improve storm surge surveillance.</li><li>Review and update dilution ratios for agricultural and industrial contaminants.</li></ul>";
"6b-iii-health";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Health";"Infection and morbidity related to water quality";"<ul><li>Educate and communicate to the public on E. Coli and other waterborne diseases and their impact on water use.</li></ul>";
"6c-i-infra";"rule_3b-ii-ag";"Considerable Increase in Temperature";"Infrastructure";"Cardiovascular and respiratory stress and morbidity, heat stroke, and heat exhaustion";"<ul><li>Manage urban heat island effect: more trees and greenspace, more parks, special paving materials.</li><li>Provide cooling in parks via water features and building design and provide drinking fountains and cooling stations in outdoor public places.</li></ul>";
"6c-ii-land";"rule_3b-ii-ag";"Considerable Increase in Temperature";"Land Use Planning";"Cardiovascular and respiratory stress and morbidity, heat stroke, and heat exhaustion";"<ul><li>Ensure labour standards limiting time in hot conditions are enforced.</li><li>Update building codes to incorporate heat resilient features such as high thermal mass building materials, improved insulation, and exterior shutters.</li></ul>";
"6c-iii-health";"rule_3b-ii-ag";"Considerable Increase in Temperature";"Health";"Cardiovascular and respiratory stress and morbidity, heat stroke, and heat exhaustion";"<ul><li>Plan for additional strain on medical facilities during heat events.</li><li>Inform people on importance of hydration and avoiding isolation.</li><li>Identify and reach out to vulnerable populations.</li><li>Ensure that the elderly and those in poor health have support systems.</li></ul>";
"6d-i-health";"(dg05_ann_iamean_smean_e25p > 0)";"Change in Species Range";"Health";"Respiratory and cardiovascular illness from allergens";"<ul><li>Provide information about action to take to reduce exposure to air pollutants, with a focus on vulnerable groups.</li><li>Issue pollen indicators to the public.</li><li>Undertake public health education programs about allergens.</li></ul>";
"6e-i-for";"rule_2b-ii-for";"Longer Dry Season";"Forestry";"Illness, injury and morbidity from wildfire";"<ul><li>Evaluate staffing and distribution of forest protection staff and resources in response to wildfire.</li><li>Use best practices to manage fuel buildup and limit extent of fires where they occur.</li></ul>";
"6e-ii-infra";"rule_2b-ii-for";"Longer Dry Season";"Infrastructure";"Illness, injury and morbidity from wildfire";"<ul><li>Employ traffic restrictions when warranted to prevent exposure to fire or excessive smoke levels.</li><li>Update air quality indicators.</li></ul>";
"6e-iii-health";"rule_2b-ii-for";"Longer Dry Season";"Health";"Illness, injury and morbidity from wildfire";"<ul><li>Inform the public about fire smart, emergency management plans, and disaster response plans.</li><li>Issue Air Quality Health Index to the public.</li><li>Provide information about actions to take to reduce exposure to air pollutants, focusing on vulnerable groups.</li></ul>";
"6f-i-land";"rule_1a-i-hydro || rule_1c-ii-land";"High Intensity Precipitation";"Land Use Planning";"Illness, injury and morbidity due to flooding";"<ul><li>Provide efficient emergency management planning.</li><li>Improve building codes in flood-prone areas to reduce vulnerability of buildings to mold.</li></ul>";
"6g-i-land";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Land Use Planning";"Water contamination";"<ul><li>Create maps of vulnerability to water contamination.</li></ul>";
"6g-ii-ag";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Agriculture";"Water contamination";"<ul><li>Examine on-farm practices such as sizing of water storage ponds and crop choices.</li></ul>";
"6g-iii-infra";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Infrastructure";"Water contamination";"<ul><li>Ensure watersheds are protected and engineering works are well maintained.</li></ul>";
"6h-i-ag";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Agriculture";"Contamination of food by waterborne pathogens";"<ul><li>Examine effects of on-farm practices on contamination of crops.</li></ul>";"This is weak."
"6h-ii-health";"rule_2a-iii-bio || rule_1a-i-hydro";"Human Health Effects";"Health";"Contamination of food by waterborne pathogens";"<ul><li>Inform people on food contamination risks and precautions to take to avoid these risks.</li><li>Provide First Nations groups about loss of ancestral foods with high cultural significance.</li></ul>";
"6i-i-land";"rule_1a-vi-ag || rule_3b-ii-ag || rule_2a-iii-bio || rule_1a-i-hydro || rule_2a-vi-ag";"Human Health Effects";"Land Use Planning";"Restriction in access to food supplies or limited food supplies";"<ul><li>Organise food reserve to prevent food insecurity and consumer goods rivalry, particularly in isolated areas.</li><li>Create community gardens and common kitchens in urban areas.</li></ul>";
"6i-ii-ag";"rule_1a-vi-ag || rule_3b-ii-ag || rule_2a-iii-bio || rule_1a-i-hydro || rule_2a-vi-ag";"Human Health Effects";"Agriculture";"Restriction in access to food supplies or limited food supplies";"<ul><li>Examine vulnerability of agricultural areas to projected climate change and examine adaptation strategies to ensure reliable food supplies.</li></ul>";
"6j-i-land";1;"Human Health Effects";"Land Use Planning";"Stress related illness";"<ul><li>Provide support for vulnerable populations.</li><li>Incorporate climate change information into planning processes.</li></ul>";
"6k-i-health";"rule_5a-i-bio || (temp_djf_iamean_smean_e25p > temp_djf_iastddev_smean_hist) || (temp_mam_iamean_smean_e25p > temp_mam_iastddev_smean_hist) || (temp_jja_iamean_smean_e25p > temp_jja_iastddev_smean_hist) || (temp_son_iamean_smean_e25p > temp_son_iastddev_smean_hist)";"Increase in Temperature";"Health";"Shifting infectious disease patterns";"<ul><li>Research possible new diseases that were previously not a concern, including research into climate niches for particular species'.</li><li>Perform public immunization programs when research indicates increased risk.</li><li>Inform the public on risks and precautions to take when novel infectious diseases are expected in a region.</li></ul>";
"6k-ii-land";"rule_5a-i-bio || (temp_djf_iamean_smean_e25p > temp_djf_iastddev_smean_hist) || (temp_mam_iamean_smean_e25p > temp_mam_iastddev_smean_hist) || (temp_jja_iamean_smean_e25p > temp_jja_iastddev_smean_hist) || (temp_son_iamean_smean_e25p > temp_son_iastddev_smean_hist)";"Increase in Temperature";"Land Use Planning";"Shifting infectious disease patterns";"<ul><li>Map areas that may be of particular concern for future infectious diseases using information from infectious disease researchers.</li></ul>";
